observation_index,A,B,M,N,value,dV,I,rel_err,K,fid,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
210,16,34,22,28,14.2180774,,,0.05,1.0,210,16-34|22-28,1,0.03914938155204135,14.2152948,14.2125122
211,16,37,23,30,10.4737236,,,0.05,1.0,211,16-37|23-30,1,0.047907487128683195,10.47623305,10.4787425
212,16,40,24,32,8.65900582,,,0.05,1.0,212,16-40|24-32,1,0.3135514542250385,8.64545185,8.63189788
213,16,43,25,34,7.20951703,,,0.05,1.0,213,16-43|25-34,1,0.31232297432459094,7.198276095,7.18703516
214,16,46,26,36,6.72429363,,,0.05,1.0,214,16-46|26-36,1,0.06411992240834907,6.722138515,6.7199834
215,16,49,27,38,6.74501321,,,0.05,1.0,215,16-49|27-38,1,0.5435361399333792,6.7267320999999995,6.70845099
216,16,52,28,40,6.32087089,,,0.05,1.0,216,16-52|28-40,1,0.5003052672363347,6.30509852,6.28932615
217,16,55,29,42,6.08749119,,,0.05,1.0,217,16-55|29-42,1,0.09365350861760013,6.0903431,6.09319501
218,17,20,18,19,293.921743,,,0.05,1.0,218,17-20|18-19,1,0.12914285874586323,293.732076,293.542409
219,17,23,19,21,89.3328315,,,0.05,1.0,219,17-23|19-21,1,0.1268874694215991,89.27619135,89.2195512
220,17,26,20,23,47.6517733,,,0.05,1.0,220,17-26|20-23,1,0.0804887763867215,47.63260385,47.6134344
221,17,29,21,25,28.4185156,,,0.05,1.0,221,17-29|21-25,1,0.06678686589456491,28.40902885,28.3995421
222,17,32,22,27,19.3103527,,,0.05,1.0,222,17-32|22-27,1,0.08785879779056231,19.318839349999998,19.327326
223,17,35,23,29,13.5200304,,,0.05,1.0,223,17-35|23-29,1,0.09700390856501323,13.5134761,13.5069218
224,17,38,24,31,10.0587956,,,0.05,1.0,224,17-38|24-31,1,0.35799656137738955,10.0408227,10.0228498
225,17,41,25,33,7.93446816,,,0.05,1.0,225,17-41|25-33,1,1.165689301712998,7.888490515,7.84251287
226,17,44,26,35,7.218633,,,0.05,1.0,226,17-44|26-35,1,0.6874248222278474,7.19390665,7.1691803
