x_m,y_m,total_field_anomaly_nT
26755.86,55104.87,-12.00
26015.60,75274.52,-90.00
26012.78,75657.03,-190.00
27233.35,52386.15,-13.00
27041.22,59026.71,7.00
26743.14,67341.87,55.00
26524.17,71721.84,73.00
26529.83,72335.64,213.00
26525.59,72833.79,232.00
26517.82,73136.24,152.00
26510.75,73410.89,52.00
26514.29,74296.00,12.00
26493.80,75079.93,-89.00
26458.48,75767.11,-150.00
26418.22,76226.35,-51.00
26399.15,76455.41,69.00
26350.41,77183.73,169.00
26341.94,77475.07,329.00
26332.75,77728.59,429.00
26267.06,79044.03,388.00
26211.97,80149.30,286.00
27520.84,45494.29,-34.00
26497.33,74982.07,-69.00
26466.96,75555.84,-165.00
27652.92,50097.76,-12.00
27451.61,55480.71,-12.00
27058.18,69202.16,62.00
26972.71,71379.36,81.00
26947.28,72037.63,273.00
26923.97,72650.32,292.00
26904.90,73210.74,152.00
26897.13,73460.93,52.00
26862.52,74432.77,-29.00
26842.74,74945.38,-129.00
26827.91,75352.35,-230.00
26800.36,76137.39,-170.00
26791.88,76454.30,109.00
26766.45,76951.34,319.00
26746.67,77482.85,419.00
26746.67,78791.61,358.00
26651.32,80489.56,256.00
27454.44,55206.06,-15.00
26825.79,75218.92,-209.00
28177.74,46036.92,-31.00
28016.69,49264.91,-25.00
27864.12,52538.49,-14.00
27886.02,55002.57,-17.00
27821.03,60927.04,17.00
27558.27,68801.86,73.00
27526.49,71294.85,93.00
27499.64,72043.19,352.00
27443.84,72775.97,152.00
27339.30,73679.98,72.00
27219.22,74502.82,-29.00
27160.60,74857.54,-139.00
27148.59,75181.11,-249.00
27108.33,75779.34,-180.00
27105.50,76230.79,10.00
27107.62,76942.44,349.00
27100.56,77306.05,449.00
27035.57,78147.79,429.00
27008.73,78806.07,328.00
26975.53,81557.03,225.00
